dia,S,E,I,R,C,populacao_humana,casos_sintomaticos_acumulados,expostos_acumulados
61,5113.941277687652,235.4945414328782,713.0504869862559,3937.513693893216,0.019468176850381175,10000.000000000002,4650.564180879472,4886.058722312348
62,5101.125721376805,225.2780850556536,686.1175819885385,3987.478611579005,0.01915138330227642,10000.000000000002,4673.596193567543,4898.874278623195
63,5088.52574434167,215.82888544953087,660.0932414768821,4035.552128731918,0.018870412630241938,10000.000000000002,4695.6453702088,4911.47425565833
64,5076.119551442892,207.09464875176116,634.9863063615817,4081.7994934437675,0.018621213999096185,10000.000000000004,4716.78579980535,4923.880448557108
65,5063.887794443749,199.0257312439994,610.8000903402359,4126.286383972018,0.01840019464033089,10000.000000000002,4737.086474312254,4936.112205556251
66,5051.813302030865,191.57514383837534,587.5330171640337,4169.0785369667265,0.018204168054131657,10000.0,4756.61155413076,4948.186697969135
67,5039.880838471691,184.6985289081234,565.1792130096924,4210.241419610493,0.018030308068691516,10000.0,4775.420632620186,4960.119161528309
68,5028.076888120774,178.35411474593198,543.7290546468221,4249.839942486472,0.017876108094477174,10000.0,4793.568997133294,4971.923111879226
69,5016.389463202871,172.50265222485922,523.1696745176581,4287.938210054613,0.017739344986005098,10000.0,4811.10788457227,4983.610536797129
70,5004.8079325133685,167.10733759918085,503.4854241789478,4324.599305708504,0.017618046990112147,10000.000000000002,4828.084729887452,4995.1920674866315
71,4993.32286888159,162.13372481275835,484.6582978074843,4359.88510849817,0.01751046531862176,10000.000000000002,4844.543406305654,5006.67713111841
72,4981.925913437687,157.54963017642686,466.6683176532908,4393.856138732596,0.017415048935560666,10000.0,4860.524456385887,5018.074086562313
73,4970.609654907431,153.3250318289743,449.49388344846795,4426.571429815127,0.017330422195426073,10000.0,4876.065313263595,5029.390345092569
74,4959.367522330366,149.4319660037254,433.11208785474105,4458.088423811168,0.01725536501010789,10000.0,4891.200511665908,5040.632477669634
75,4948.193689755185,145.844421779707,417.49900006716354,4488.462888397944,0.017188795258526665,10000.0,4905.961888465107,5051.806310244815
76,4937.082991611801,142.53823569809595,402.6299196925968,4517.748852997505,0.017129753185382044,10000.0,4920.378772690102,5062.917008388199
77,4926.030847592877,139.49098736656296,388.4796029958811,4545.998562044679,0.01707738756408389,10000.0,4934.47816504056,5073.969152407123
78,4915.033195998878,136.6818969518984,375.02246355955623,4573.262443489668,0.017030943424373123,10000.0,4948.284907049224,5084.966804001122
79,4904.086434610875,134.09172527091323,362.2327493393136,4599.589090778896,0.016989751167697863,9999.999999999998,4961.821840118209,5095.913565389125
80,4893.18736825493,131.70267702733256,350.0846980211047,4625.025256696631,0.016953216913418043,9999.999999999998,4975.1099547177355,5106.81263174507
81,4882.333162311715,129.49830760484218,338.5526725003975,4649.615857583043,0.016920813936657023,9999.999999999996,4988.168530083441,5117.666837688285
82,4871.521301505953,127.46343371053655,327.6112782123373,4673.403986571171,0.01689207507435718,9999.999999999996,5001.015264783508,5128.478698494047
